Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,Payment Mode
ORD-100021,2023-05-07,2023-05-13,Same Day,CUST-1970,Customer 321,Corporate,West,Gujarat,Vadodara,Office Supplies,Labels,Labels Item 15,1,0.0,450.54,102.94,COD
ORD-100022,2023-02-18,2023-02-25,First Class,CUST-1752,Customer 370,Corporate,West,Karnataka,Mysuru,Office Supplies,Art,Art Item 15,1,0.2,376.99,68.9,Net Banking
ORD-100023,2023-01-21,2023-01-23,Standard Class,CUST-1572,Customer 122,Consumer,North,Gujarat,Surat,Office Supplies,Binders,Binders Item 12,5,0.05,3320.85,470.97,Net Banking
ORD-100024,2022-07-11,2022-07-12,First Class,CUST-1733,Customer 3,Consumer,West,Rajasthan,Jaipur,Office Supplies,Envelopes,Envelopes Item 5,5,0.15,1905.36,277.64,UPI
ORD-100025,2022-10-04,2022-10-11,Second Class,CUST-1522,Customer 351,Home Office,North,Rajasthan,Udaipur,Furniture,Chairs,Chairs Item 15,6,0.15,29529.34,4253.39,Debit Card
ORD-100026,2022-06-10,2022-06-17,Standard Class,CUST-1331,Customer 139,Home Office,East,Rajasthan,Udaipur,Technology,Machines,Machines Item 3,4,0.05,162786.78,48068.65,Debit Card
ORD-100027,2023-04-05,2023-04-07,Second Class,CUST-1796,Customer 59,Corporate,West,Telangana,Hyderabad,Furniture,Tables,Tables Item 13,5,0.0,55485.69,-2608.01,Credit Card
ORD-100028,2022-11-10,2022-11-13,Standard Class,CUST-1477,Customer 352,Corporate,North,Kerala,Thiruvananthapuram,Furniture,Furnishings,Furnishings Item 12,5,0.0,43105.42,7432.33,UPI
ORD-100029,2022-01-22,2022-01-24,Standard Class,CUST-1043,Customer 137,Corporate,North,Tamil Nadu,Salem,Office Supplies,Art,Art Item 9,4,0.2,2286.21,447.24,Net Banking
ORD-100030,2022-09-10,2022-09-16,First Class,CUST-1871,Customer 322,Consumer,East,Kerala,Thiruvananthapuram,Furniture,Furnishings,Furnishings Item 14,5,0.0,47927.57,6474.69,Debit Card
ORD-100031,2023-07-15,2023-07-17,Same Day,CUST-1437,Customer 248,Corporate,North,Maharashtra,Pune,Office Supplies,Storage,Storage Item 4,7,0.0,2844.95,57.19,Net Banking
ORD-100032,2023-04-20,2023-04-22,First Class,CUST-1605,Customer 163,Corporate,West,Delhi,New Delhi,Furniture,Furnishings,Furnishings Item 6,7,0.0,80460.0,4888.46,UPI
ORD-100033,2022-02-28,2022-03-01,First Class,CUST-1081,Customer 324,Consumer,South,Tamil Nadu,Coimbatore,Office Supplies,Paper,Paper Item 10,3,0.0,1348.63,146.8,Debit Card
ORD-100034,2023-05-26,2023-05-28,Same Day,CUST-1900,Customer 378,Corporate,South,Gujarat,Vadodara,Furniture,Tables,Tables Item 15,1,0.0,10905.05,-476.23,UPI
ORD-100035,2023-11-13,2023-11-20,Same Day,CUST-1660,Customer 99,Consumer,North,Tamil Nadu,Chennai,Office Supplies,Envelopes,Envelopes Item 14,1,0.0,1035.35,191.96,Credit Card
ORD-100036,2023-04-21,2023-04-22,Standard Class,CUST-1461,Customer 132,Home Office,South,Karnataka,Mangaluru,Office Supplies,Paper,Paper Item 9,4,0.0,1034.12,221.87,COD
ORD-100037,2023-12-01,2023-12-05,Standard Class,CUST-1557,Customer 324,Consumer,South,Telangana,Warangal,Furniture,Tables,Tables Item 14,7,0.0,75288.77,656.6,UPI
ORD-100038,2022-07-09,2022-07-12,First Class,CUST-1988,Customer 24,Home Office,North,Gujarat,Vadodara,Office Supplies,Storage,Storage Item 14,2,0.2,1147.21,35.51,UPI
ORD-100039,2023-11-18,2023-11-19,Standard Class,CUST-1253,Customer 181,Consumer,East,Telangana,Warangal,Technology,Machines,Machines Item 14,2,0.05,46530.44,2763.57,Credit Card
ORD-100040,2023-07-17,2023-07-23,Same Day,CUST-1933,Customer 85,Corporate,South,West Bengal,Siliguri,Office Supplies,Art,Art Item 4,6,0.0,3924.12,956.73,Net Banking
ORD-100041,2023-07-21,2023-07-25,First Class,CUST-1750,Customer 169,Home Office,West,Tamil Nadu,Madurai,Technology,Phones,Phones Item 5,5,0.05,156540.26,33775.41,COD
ORD-100042,2022-09-01,2022-09-02,Standard Class,CUST-1381,Customer 379,Consumer,West,Telangana,Warangal,Technology,Machines,Machines Item 9,5,0.1,67390.35,6429.27,Net Banking
ORD-100043,2023-05-20,2023-05-21,Standard Class,CUST-1798,Customer 202,Home Office,South,Kerala,Kochi,Furniture,Chairs,Chairs Item 15,7,0.15,31799.26,2377.58,Net Banking
ORD-100044,2022-05-11,2022-05-14,Same Day,CUST-1435,Customer 111,Home Office,North,Karnataka,Mysuru,Technology,Accessories,Accessories Item 10,3,0.0,128621.61,25774.29,Debit Card
ORD-100045,2023-04-30,2023-05-07,Standard Class,CUST-1087,Customer 194,Consumer,East,West Bengal,Siliguri,Technology,Machines,Machines Item 6,1,0.0,23366.52,6618.13,Net Banking
ORD-100046,2023-10-09,2023-10-15,Standard Class,CUST-1762,Customer 169,Consumer,North,Telangana,Warangal,Technology,Copiers,Copiers Item 7,7,0.2,175893.18,20846.49,Net Banking
ORD-100047,2022-01-21,2022-01-26,Same Day,CUST-1174,Customer 109,Corporate,South,Telangana,Hyderabad,Furniture,Bookcases,Bookcases Item 2,5,0.0,23339.15,3430.94,Credit Card
ORD-100048,2022-06-16,2022-06-21,Standard Class,CUST-1042,Customer 372,Home Office,East,Maharashtra,Nagpur,Furniture,Tables,Tables Item 6,7,0.0,30059.55,1174.26,Debit Card
ORD-100049,2022-10-01,2022-10-02,First Class,CUST-1888,Customer 168,Corporate,South,Delhi,New Delhi,Technology,Machines,Machines Item 9,3,0.15,50938.62,12952.78,Debit Card
ORD-100050,2023-01-23,2023-01-25,Same Day,CUST-1715,Customer 80,Home Office,West,Karnataka,Bengaluru,Technology,Machines,Machines Item 1,3,0.1,104996.25,19757.86,Credit Card
ORD-100051,2023-08-24,2023-08-30,First Class,CUST-1996,Customer 328,Home Office,North,Maharashtra,Mumbai,Office Supplies,Art,Art Item 15,3,0.0,834.14,183.87,COD
ORD-100052,2022-11-12,2022-11-16,Standard Class,CUST-1123,Customer 113,Consumer,East,Delhi,New Delhi,Office Supplies,Binders,Binders Item 10,7,0.15,5230.24,119.23,Credit Card
ORD-100053,2022-01-14,2022-01-16,First Class,CUST-1068,Customer 118,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Art,Art Item 10,4,0.15,1113.74,132.56,Credit Card
ORD-100054,2022-08-30,2022-09-01,First Class,CUST-1451,Customer 289,Corporate,North,Uttar Pradesh,Noida,Furniture,Bookcases,Bookcases Item 14,3,0.0,12001.48,317.62,COD
ORD-100055,2022-12-12,2022-12-18,Same Day,CUST-1028,Customer 280,Consumer,East,Maharashtra,Mumbai,Office Supplies,Art,Art Item 3,5,0.05,4592.34,885.02,COD
ORD-100056,2023-07-19,2023-07-26,Same Day,CUST-1324,Customer 318,Corporate,North,Telangana,Hyderabad,Technology,Machines,Machines Item 2,2,0.2,5606.18,1640.76,COD
ORD-100057,2022-12-06,2022-12-07,Same Day,CUST-1097,Customer 345,Home Office,North,Gujarat,Ahmedabad,Furniture,Tables,Tables Item 8,1,0.1,2633.34,183.1,COD
ORD-100058,2022-04-02,2022-04-03,Same Day,CUST-1229,Customer 20,Consumer,South,Telangana,Hyderabad,Technology,Copiers,Copiers Item 6,3,0.0,130799.73,9011.57,COD
ORD-100059,2023-01-02,2023-01-03,Same Day,CUST-1834,Customer 134,Home Office,South,Uttar Pradesh,Kanpur,Office Supplies,Envelopes,Envelopes Item 9,3,0.0,2755.84,224.61,Net Banking
ORD-100060,2023-03-31,2023-04-01,First Class,CUST-1412,Customer 65,Home Office,North,Karnataka,Bengaluru,Technology,Machines,Machines Item 15,7,0.0,193517.31,38590.66,Credit Card
ORD-100061,2023-03-04,2023-03-09,Second Class,CUST-1867,Customer 98,Home Office,West,Maharashtra,Mumbai,Office Supplies,Envelopes,Envelopes Item 5,3,0.0,2813.32,60.59,Credit Card
ORD-100062,2023-05-24,2023-05-25,Second Class,CUST-1649,Customer 73,Home Office,North,Karnataka,Bengaluru,Technology,Accessories,Accessories Item 14,6,0.0,105958.81,30189.03,Credit Card
ORD-100063,2022-02-04,2022-02-09,First Class,CUST-1418,Customer 244,Home Office,East,Uttar Pradesh,Noida,Furniture,Furnishings,Furnishings Item 4,5,0.15,12374.53,-328.72,Credit Card
ORD-100064,2022-07-25,2022-07-30,Same Day,CUST-1247,Customer 348,Home Office,East,Uttar Pradesh,Kanpur,Technology,Accessories,Accessories Item 7,3,0.1,32434.2,1695.13,UPI
ORD-100065,2022-03-22,2022-03-29,First Class,CUST-1479,Customer 47,Home Office,North,Telangana,Warangal,Office Supplies,Paper,Paper Item 6,1,0.0,400.93,26.39,UPI
ORD-100066,2023-07-16,2023-07-17,First Class,CUST-1313,Customer 161,Corporate,East,Rajasthan,Jaipur,Furniture,Bookcases,Bookcases Item 4,7,0.0,22409.47,-798.2,Debit Card
ORD-100067,2023-01-23,2023-01-26,Second Class,CUST-1503,Customer 174,Corporate,East,Karnataka,Mysuru,Office Supplies,Paper,Paper Item 15,3,0.0,1598.7,213.44,Debit Card
ORD-100068,2022-01-02,2022-01-06,Standard Class,CUST-1508,Customer 390,Consumer,North,Telangana,Warangal,Furniture,Bookcases,Bookcases Item 4,3,0.0,19657.33,335.04,COD
ORD-100069,2023-01-25,2023-01-27,Standard Class,CUST-1769,Customer 58,Home Office,North,Gujarat,Vadodara,Furniture,Tables,Tables Item 6,3,0.0,13609.19,2010.89,UPI
ORD-100070,2023-07-20,2023-07-25,Same Day,CUST-1865,Customer 63,Home Office,East,West Bengal,Kolkata,Office Supplies,Paper,Paper Item 4,3,0.0,2010.07,473.06,Debit Card
ORD-100071,2022-04-16,2022-04-22,Standard Class,CUST-1987,Customer 207,Corporate,North,Maharashtra,Nagpur,Office Supplies,Storage,Storage Item 12,6,0.0,2049.56,262.32,Credit Card
ORD-100072,2023-04-22,2023-04-28,Same Day,CUST-1713,Customer 348,Corporate,South,Kerala,Kochi,Furniture,Chairs,Chairs Item 5,1,0.2,7028.12,1142.25,COD
ORD-100073,2023-12-04,2023-12-08,Standard Class,CUST-1443,Customer 283,Consumer,West,Kerala,Thiruvananthapuram,Office Supplies,Binders,Binders Item 1,5,0.0,6152.41,532.26,Net Banking
ORD-100074,2023-02-06,2023-02-12,First Class,CUST-1566,Customer 352,Home Office,West,Tamil Nadu,Chennai,Office Supplies,Labels,Labels Item 10,2,0.2,1802.67,379.4,Debit Card
ORD-100075,2023-12-31,2024-01-03,First Class,CUST-1005,Customer 109,Consumer,East,Kerala,Thiruvananthapuram,Office Supplies,Binders,Binders Item 8,5,0.05,2810.12,262.13,Net Banking
ORD-100076,2023-07-10,2023-07-16,Second Class,CUST-1824,Customer 383,Corporate,West,Karnataka,Mangaluru,Technology,Phones,Phones Item 11,3,0.2,73497.28,17425.39,UPI
ORD-100077,2022-06-11,2022-06-13,Same Day,CUST-1400,Customer 247,Home Office,West,Telangana,Warangal,Furniture,Bookcases,Bookcases Item 4,6,0.0,15576.56,1707.32,Net Banking
ORD-100078,2022-07-21,2022-07-23,First Class,CUST-1415,Customer 122,Corporate,West,West Bengal,Kolkata,Technology,Copiers,Copiers Item 4,5,0.0,68535.04,10523.57,Debit Card
ORD-100079,2022-09-27,2022-10-02,Standard Class,CUST-1757,Customer 127,Home Office,West,Uttar Pradesh,Lucknow,Office Supplies,Envelopes,Envelopes Item 5,2,0.2,595.88,45.54,UPI
ORD-100080,2022-09-28,2022-09-29,First Class,CUST-1018,Customer 195,Consumer,East,Karnataka,Mangaluru,Technology,Machines,Machines Item 7,3,0.15,71209.7,11196.73,COD
ORD-100081,2023-04-01,2023-04-08,Second Class,CUST-1238,Customer 205,Consumer,East,Uttar Pradesh,Lucknow,Technology,Machines,Machines Item 8,2,0.2,24121.71,1339.61,Net Banking
ORD-100082,2023-04-07,2023-04-10,Same Day,CUST-1304,Customer 7,Consumer,West,Rajasthan,Udaipur,Technology,Copiers,Copiers Item 6,1,0.1,6170.82,913.06,Credit Card
ORD-100083,2023-12-28,2024-01-02,First Class,CUST-1540,Customer 117,Consumer,North,West Bengal,Siliguri,Office Supplies,Envelopes,Envelopes Item 4,2,0.0,2351.82,411.21,Debit Card
ORD-100084,2022-09-09,2022-09-12,First Class,CUST-1335,Customer 364,Home Office,East,Gujarat,Ahmedabad,Office Supplies,Paper,Paper Item 12,3,0.0,193.41,41.06,Credit Card
ORD-100085,2023-12-03,2023-12-04,Second Class,CUST-1692,Customer 30,Consumer,North,Delhi,New Delhi,Technology,Accessories,Accessories Item 13,3,0.15,22091.1,3679.88,COD
ORD-100086,2022-10-23,2022-10-29,First Class,CUST-1291,Customer 335,Corporate,South,Kerala,Thiruvananthapuram,Furniture,Chairs,Chairs Item 2,1,0.0,10899.87,1654.5,Debit Card
ORD-100087,2023-12-26,2024-01-01,Second Class,CUST-1634,Customer 234,Consumer,North,West Bengal,Siliguri,Office Supplies,Envelopes,Envelopes Item 4,4,0.05,598.32,71.62,Net Banking
ORD-100088,2023-12-21,2023-12-28,Second Class,CUST-1883,Customer 331,Home Office,South,Uttar Pradesh,Kanpur,Furniture,Bookcases,Bookcases Item 5,5,0.0,16326.23,-558.29,Net Banking
ORD-100089,2022-12-04,2022-12-05,Same Day,CUST-1123,Customer 317,Corporate,South,Uttar Pradesh,Kanpur,Office Supplies,Paper,Paper Item 11,2,0.2,99.4,13.05,COD
ORD-100090,2022-02-22,2022-02-27,First Class,CUST-1499,Customer 209,Consumer,North,Gujarat,Vadodara,Office Supplies,Binders,Binders Item 14,7,0.0,4674.62,470.02,Debit Card
ORD-100091,2022-08-05,2022-08-12,Same Day,CUST-1441,Customer 215,Consumer,East,Gujarat,Ahmedabad,Technology,Accessories,Accessories Item 3,3,0.1,47802.41,7059.88,Credit Card
ORD-100092,2022-07-07,2022-07-08,Same Day,CUST-1444,Customer 269,Consumer,East,Gujarat,Surat,Furniture,Chairs,Chairs Item 13,7,0.0,39559.99,2950.33,COD
ORD-100093,2023-01-15,2023-01-19,Same Day,CUST-1649,Customer 300,Corporate,West,Rajasthan,Jaipur,Technology,Accessories,Accessories Item 3,3,0.15,22310.18,5960.38,COD
ORD-100094,2023-05-08,2023-05-10,Same Day,CUST-1368,Customer 384,Corporate,South,West Bengal,Kolkata,Technology,Machines,Machines Item 11,3,0.2,15473.88,4481.61,COD
ORD-100095,2022-02-10,2022-02-17,Same Day,CUST-1916,Customer 378,Consumer,North,Rajasthan,Udaipur,Office Supplies,Binders,Binders Item 15,6,0.15,4963.85,702.91,Net Banking
ORD-100096,2022-06-06,2022-06-13,Second Class,CUST-1886,Customer 326,Home Office,West,Telangana,Hyderabad,Technology,Copiers,Copiers Item 14,6,0.1,17872.61,2955.79,Credit Card
ORD-100097,2022-01-15,2022-01-20,Same Day,CUST-1404,Customer 96,Corporate,West,Karnataka,Mysuru,Technology,Phones,Phones Item 14,4,0.0,78957.63,4612.63,Credit Card
ORD-100098,2022-03-06,2022-03-09,Same Day,CUST-1743,Customer 255,Consumer,South,Uttar Pradesh,Noida,Office Supplies,Paper,Paper Item 10,3,0.2,255.65,57.91,Net Banking
ORD-100099,2023-06-05,2023-06-09,Second Class,CUST-1687,Customer 27,Consumer,East,Kerala,Thiruvananthapuram,Office Supplies,Art,Art Item 8,5,0.2,4987.41,761.29,COD
ORD-100100,2022-12-10,2022-12-15,Standard Class,CUST-1654,Customer 253,Consumer,North,Kerala,Kochi,Office Supplies,Labels,Labels Item 10,4,0.05,4312.49,1075.77,Net Banking
ORD-100101,2022-05-09,2022-05-10,Same Day,CUST-1500,Customer 291,Corporate,South,West Bengal,Kolkata,Technology,Machines,Machines Item 14,5,0.0,191442.33,13411.6,Debit Card
ORD-100102,2023-10-10,2023-10-11,Second Class,CUST-1441,Customer 355,Home Office,North,West Bengal,Siliguri,Technology,Copiers,Copiers Item 7,6,0.15,162812.67,28965.83,Credit Card
ORD-100103,2023-04-17,2023-04-18,First Class,CUST-1073,Customer 61,Consumer,East,Kerala,Thiruvananthapuram,Technology,Accessories,Accessories Item 9,3,0.1,71151.19,11424.99,UPI
ORD-100104,2022-03-04,2022-03-05,Standard Class,CUST-1314,Customer 389,Home Office,East,Gujarat,Vadodara,Furniture,Bookcases,Bookcases Item 6,3,0.0,10090.22,1651.79,Credit Card
ORD-100105,2022-05-19,2022-05-22,Standard Class,CUST-1906,Customer 189,Home Office,East,West Bengal,Kolkata,Technology,Accessories,Accessories Item 13,3,0.1,98000.35,6207.05,COD
ORD-100106,2023-05-14,2023-05-18,Same Day,CUST-1510,Customer 345,Consumer,North,Karnataka,Mysuru,Furniture,Chairs,Chairs Item 2,2,0.0,16776.71,-193.06,UPI
ORD-100107,2023-08-16,2023-08-22,First Class,CUST-1725,Customer 242,Corporate,North,Rajasthan,Udaipur,Office Supplies,Storage,Storage Item 6,1,0.15,235.02,14.4,Credit Card
ORD-100108,2023-01-27,2023-01-29,First Class,CUST-1779,Customer 296,Corporate,North,Telangana,Hyderabad,Office Supplies,Labels,Labels Item 15,7,0.0,2072.74,332.12,COD
ORD-100109,2023-11-06,2023-11-09,First Class,CUST-1741,Customer 322,Consumer,East,Tamil Nadu,Salem,Technology,Copiers,Copiers Item 12,6,0.05,126756.92,24483.33,UPI
ORD-100110,2023-02-23,2023-02-26,Same Day,CUST-1925,Customer 209,Corporate,North,Karnataka,Mysuru,Technology,Phones,Phones Item 2,4,0.15,55400.1,8633.21,Net Banking
ORD-100111,2022-10-16,2022-10-22,Second Class,CUST-1154,Customer 181,Home Office,North,Telangana,Warangal,Furniture,Chairs,Chairs Item 5,4,0.05,13521.93,883.83,Credit Card
ORD-100112,2023-01-14,2023-01-20,First Class,CUST-1206,Customer 95,Consumer,North,Rajasthan,Udaipur,Technology,Machines,Machines Item 9,7,0.2,56683.77,11605.88,Debit Card
ORD-100113,2023-05-05,2023-05-07,Same Day,CUST-1924,Customer 11,Consumer,South,West Bengal,Kolkata,Technology,Machines,Machines Item 5,5,0.15,84468.82,23057.73,UPI
ORD-100114,2022-08-19,2022-08-21,First Class,CUST-1782,Customer 84,Consumer,South,Tamil Nadu,Salem,Furniture,Furnishings,Furnishings Item 1,2,0.0,10923.28,-407.43,COD
ORD-100115,2022-02-10,2022-02-16,Same Day,CUST-1903,Customer 93,Home Office,South,Maharashtra,Pune,Technology,Machines,Machines Item 12,3,0.1,54184.82,7128.74,Debit Card
ORD-100116,2022-01-28,2022-01-29,Second Class,CUST-1515,Customer 223,Consumer,West,West Bengal,Kolkata,Technology,Phones,Phones Item 14,6,0.05,92565.16,8564.95,Net Banking
ORD-100117,2022-05-15,2022-05-18,First Class,CUST-1095,Customer 190,Home Office,East,Uttar Pradesh,Kanpur,Office Supplies,Binders,Binders Item 8,2,0.15,466.89,41.81,UPI
ORD-100118,2022-07-20,2022-07-25,First Class,CUST-1064,Customer 247,Corporate,South,Maharashtra,Pune,Technology,Copiers,Copiers Item 2,5,0.15,61073.34,16419.65,Debit Card
ORD-100119,2022-02-02,2022-02-04,First Class,CUST-1529,Customer 371,Consumer,West,Kerala,Kochi,Furniture,Chairs,Chairs Item 14,7,0.2,29298.8,986.67,Debit Card
ORD-100120,2022-02-17,2022-02-19,Standard Class,CUST-1659,Customer 218,Consumer,West,Maharashtra,Nagpur,Technology,Phones,Phones Item 6,4,0.0,97768.04,26630.04,Credit Card
ORD-100121,2023-05-18,2023-05-24,Second Class,CUST-1226,Customer 48,Home Office,South,Maharashtra,Nagpur,Furniture,Bookcases,Bookcases Item 12,3,0.1,16959.23,1036.74,COD
ORD-100122,2023-02-11,2023-02-15,Standard Class,CUST-1389,Customer 77,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Envelopes,Envelopes Item 5,2,0.2,1045.46,234.89,Credit Card
ORD-100123,2023-07-28,2023-08-02,Second Class,CUST-1485,Customer 191,Corporate,North,Delhi,New Delhi,Office Supplies,Art,Art Item 10,1,0.05,935.64,98.8,Credit Card
ORD-100124,2023-12-29,2024-01-03,First Class,CUST-1421,Customer 200,Corporate,North,Karnataka,Mysuru,Technology,Machines,Machines Item 7,6,0.05,127332.54,25589.1,COD
ORD-100125,2022-04-09,2022-04-11,Standard Class,CUST-1798,Customer 349,Corporate,North,Uttar Pradesh,Kanpur,Furniture,Furnishings,Furnishings Item 10,7,0.15,14289.59,492.99,Net Banking
ORD-100126,2023-11-15,2023-11-16,Same Day,CUST-1405,Customer 388,Home Office,South,Uttar Pradesh,Lucknow,Office Supplies,Binders,Binders Item 11,7,0.1,6460.7,1428.05,COD
ORD-100127,2023-12-27,2023-12-31,Standard Class,CUST-1910,Customer 273,Corporate,West,Karnataka,Mysuru,Furniture,Bookcases,Bookcases Item 11,5,0.1,47481.72,5819.41,COD
ORD-100128,2023-07-01,2023-07-06,First Class,CUST-1228,Customer 156,Home Office,East,Maharashtra,Pune,Technology,Copiers,Copiers Item 1,2,0.0,55284.8,10918.03,COD
ORD-100129,2023-09-05,2023-09-07,Second Class,CUST-1732,Customer 238,Home Office,North,Rajasthan,Udaipur,Technology,Copiers,Copiers Item 3,1,0.1,17670.91,4282.76,COD
ORD-100130,2023-04-07,2023-04-12,First Class,CUST-1200,Customer 180,Corporate,North,Rajasthan,Jaipur,Technology,Machines,Machines Item 14,6,0.0,57587.72,11735.36,Credit Card
ORD-100131,2023-10-05,2023-10-12,Same Day,CUST-1000,Customer 44,Home Office,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Item 5,2,0.05,233.42,28.19,COD
ORD-100132,2022-01-05,2022-01-09,First Class,CUST-1071,Customer 155,Corporate,South,West Bengal,Siliguri,Office Supplies,Labels,Labels Item 11,3,0.0,1183.03,54.02,UPI
ORD-100133,2022-08-06,2022-08-10,Standard Class,CUST-1415,Customer 221,Home Office,North,Maharashtra,Nagpur,Office Supplies,Storage,Storage Item 9,6,0.05,6908.95,337.58,Net Banking
ORD-100134,2023-05-18,2023-05-25,Same Day,CUST-1711,Customer 233,Home Office,North,Tamil Nadu,Salem,Technology,Phones,Phones Item 4,5,0.1,75518.63,11915.19,COD
ORD-100135,2023-02-02,2023-02-05,First Class,CUST-1272,Customer 6,Corporate,North,Maharashtra,Mumbai,Furniture,Chairs,Chairs Item 15,1,0.0,5488.12,96.42,Net Banking
ORD-100136,2023-01-28,2023-02-04,Same Day,CUST-1675,Customer 58,Corporate,North,Karnataka,Mangaluru,Furniture,Chairs,Chairs Item 13,3,0.15,10483.89,696.72,Net Banking
ORD-100137,2022-07-26,2022-08-01,First Class,CUST-1749,Customer 360,Home Office,North,Telangana,Warangal,Furniture,Bookcases,Bookcases Item 8,5,0.05,39875.66,2001.69,Credit Card
ORD-100138,2022-01-15,2022-01-21,Second Class,CUST-1899,Customer 137,Corporate,West,Gujarat,Ahmedabad,Furniture,Tables,Tables Item 11,3,0.05,10612.67,1752.8,COD
ORD-100139,2023-07-08,2023-07-10,Standard Class,CUST-1629,Customer 73,Home Office,West,Kerala,Kochi,Office Supplies,Envelopes,Envelopes Item 10,7,0.05,3624.69,230.39,UPI
ORD-100140,2023-04-06,2023-04-10,Standard Class,CUST-1270,Customer 163,Consumer,North,Kerala,Kochi,Office Supplies,Labels,Labels Item 2,2,0.05,1687.09,327.5,Credit Card
